STABBR,UGDS_WHITE_2011,UGDS_BLACK_2011,UGDS_HISP_2011,UGDS_ASIAN_2011,UGDS_AIAN_2011,UGDS_WHITE_2014,UGDS_BLACK_2014,UGDS_HISP_2014,UGDS_ASIAN_2014,UGDS_AIAN_2014,UGDS_WHITE_2018,UGDS_BLACK_2018,UGDS_HISP_2018,UGDS_ASIAN_2018,UGDS_AIAN_2018,WHITE_change_14_18,WHITE_change_11_18,WHITE_change_11_14,BLACK_change_14_18,BLACK_change_11_18,BLACK_change_11_14,HISP_change_14_18,HISP_change_11_18,HISP_change_11_14,ASIAN_change_14_18,ASIAN_change_11_18,ASIAN_change_11_14,AIAN_change_14_18,AIAN_change_11_18,AIAN_change_11_14
GA,0.4749999999999999,0.46913333333333335,0.024833333333333332,0.005333333333333333,0.0036666666666666666,0.4784333333333333,0.45933333333333337,0.03256666666666667,0.006600000000000001,0.0018333333333333333,0.37670000000000003,0.5351,0.04416666666666666,0.0046,0.0028666666666666667,-0.10173333333333329,-0.09829999999999989,0.0034333333333333993,0.07576666666666665,0.06596666666666667,-0.009799999999999975,0.011599999999999992,0.019333333333333327,0.007733333333333335,-0.002000000000000001,-0.0007333333333333332,0.0012666666666666677,0.0010333333333333334,-0.0007999999999999999,-0.0018333333333333333
GU,0.024800000000000003,0.00675,0.004,0.40759999999999996,0.0010999999999999998,0.02105,0.013250000000000001,0.0052,0.42464999999999997,0.0009,0.0196,0.007549999999999999,0.0052,0.44605,0.00135,-0.00145,-0.005200000000000003,-0.0037500000000000033,-0.005700000000000002,0.0007999999999999995,0.0065000000000000014,0.0,0.0011999999999999997,0.0011999999999999997,0.02140000000000003,0.03845000000000004,0.01705000000000001,0.0004500000000000001,0.0002500000000000002,-0.00019999999999999987
HI,0.1688666666666667,0.013033333333333333,0.08356666666666668,0.34400000000000003,0.004,0.16073333333333334,0.0152,0.10776666666666668,0.3301,0.0029999999999999996,0.1421,0.014366666666666666,0.12913333333333335,0.3297333333333333,0.0018000000000000002,-0.018633333333333335,-0.02676666666666669,-0.008133333333333354,-0.0008333333333333335,0.001333333333333334,0.0021666666666666674,0.021366666666666673,0.04556666666666667,0.0242,-0.0003666666666666818,-0.014266666666666705,-0.013900000000000023,-0.0011999999999999995,-0.0021999999999999997,-0.0010000000000000005
IA,0.7114333333333334,0.1176,0.0615,0.0168,0.0053,0.6903666666666667,0.12826666666666667,0.07356666666666667,0.017533333333333335,0.004366666666666667,0.6602333333333333,0.12813333333333332,0.09743333333333333,0.020866666666666662,0.004166666666666667,-0.030133333333333345,-0.05120000000000002,-0.021066666666666678,-0.0001333333333333464,0.010533333333333325,0.010666666666666672,0.02386666666666666,0.03593333333333333,0.01206666666666667,0.003333333333333327,0.004066666666666663,0.0007333333333333358,-0.00020000000000000052,-0.0011333333333333334,-0.0009333333333333329
ID,0.7766000000000001,0.0126,0.08690000000000002,0.016433333333333335,0.012166666666666666,0.7484333333333334,0.010199999999999999,0.11723333333333334,0.014333333333333335,0.010566666666666667,0.7454333333333333,0.012833333333333334,0.14503333333333332,0.0148,0.010133333333333334,-0.0030000000000001137,-0.031166666666666787,-0.028166666666666673,0.0026333333333333347,0.00023333333333333366,-0.002400000000000001,0.027799999999999978,0.0581333333333333,0.030333333333333323,0.0004666666666666656,-0.0016333333333333339,-0.0020999999999999994,-0.00043333333333333245,-0.0020333333333333314,-0.001599999999999999
IL,0.7373666666666666,0.1251,0.0641,0.010466666666666668,0.0021,0.6982333333333334,0.13276666666666667,0.08206666666666666,0.012333333333333333,0.0026,0.6788333333333334,0.12793333333333334,0.0962,0.015933333333333334,0.0026,-0.019399999999999973,-0.058533333333333215,-0.03913333333333324,-0.004833333333333328,0.0028333333333333544,0.007666666666666683,0.014133333333333331,0.03209999999999999,0.01796666666666666,0.0036000000000000008,0.0054666666666666665,0.0018666666666666658,0.0,0.0005,0.0005
IN,0.8348,0.08433333333333333,0.03456666666666666,0.006033333333333332,0.0028,0.7847,0.09246666666666666,0.04933333333333334,0.0162,0.0023333333333333335,0.7516333333333334,0.0963,0.05976666666666666,0.021,0.0019333333333333336,-0.03306666666666658,-0.08316666666666661,-0.05010000000000003,0.0038333333333333414,0.011966666666666667,0.008133333333333326,0.010433333333333322,0.0252,0.014766666666666678,0.004800000000000002,0.01496666666666667,0.010166666666666668,-0.00039999999999999996,-0.0008666666666666664,-0.00046666666666666645
KS,0.7433000000000001,0.1028,0.07913333333333333,0.021333333333333333,0.015166666666666667,0.6992333333333334,0.105,0.10833333333333332,0.024133333333333336,0.011233333333333333,0.6431333333333333,0.11059999999999999,0.13116666666666668,0.0267,0.012866666666666665,-0.05610000000000004,-0.10016666666666674,-0.0440666666666667,0.005599999999999994,0.0077999999999999875,0.0021999999999999936,0.022833333333333358,0.05203333333333335,0.02919999999999999,0.002566666666666665,0.005366666666666669,0.002800000000000004,0.0016333333333333321,-0.0023000000000000017,-0.003933333333333334
KY,0.8482666666666666,0.09946666666666666,0.020566666666666664,0.007766666666666667,0.002166666666666667,0.8420333333333333,0.0801,0.029833333333333337,0.008033333333333332,0.0029333333333333334,0.8301333333333334,0.07,0.04223333333333334,0.015733333333333335,0.0016333333333333332,-0.01189999999999991,-0.018133333333333224,-0.006233333333333313,-0.010099999999999998,-0.029466666666666655,-0.019366666666666657,0.012400000000000001,0.021666666666666674,0.009266666666666673,0.007700000000000004,0.007966666666666667,0.0002666666666666642,-0.0013000000000000002,-0.0005333333333333338,0.0007666666666666664
LA,0.4444000000000001,0.49346666666666666,0.019033333333333333,0.0068000000000000005,0.005433333333333334,0.40713333333333335,0.43196666666666667,0.03946666666666667,0.004733333333333333,0.008833333333333334,0.4155666666666667,0.4186666666666667,0.06243333333333334,0.0141,0.0122,0.008433333333333348,-0.028833333333333377,-0.037266666666666726,-0.013299999999999979,-0.07479999999999998,-0.0615,0.02296666666666667,0.04340000000000001,0.020433333333333338,0.009366666666666666,0.007299999999999999,-0.002066666666666667,0.003366666666666667,0.0067666666666666665,0.0033999999999999994
