,Name,Average Household Income_2011,Population_2011,Poverty Count_2011,White Pop_2011,White Median Income_2011,Black Pop_2011,Black Median Income_2011,Asian Pop_2011,Asian Median Income_2011,Hispanic or Latino Pop_2011,Hispanic or Latino Median Income_2011,Average Household Income_2014,Population_2014,Poverty Count_2014,White Pop_2014,White Median Income_2014,Black Pop_2014,Black Median Income_2014,Asian Pop_2014,Asian Median Income_2014,Hispanic or Latino Pop_2014,Hispanic or Latino Median Income_2014,Average Household Income,Population,Poverty Count,White Pop,White Median Income,Black Pop,Black Median Income,Asian Pop,Asian Median Income,Hispanic or Latino Pop,Hispanic or Latino Median Income,Difference in White Median Income (2011-2014),Difference in White Median Income (2014-2018),Difference in Black Median Income (2011-2014),Difference in Black Median Income (2014-2018),Difference in Asian Median Income (2011-2014),Difference in Asian Median Income (2014-2018),Difference in Hispanic or Latino Median Income (2011-2014),Difference in Hispanic or Latino Median Income (2014-2018)
21,Massachusetts,65981.0,6512227.0,673467.0,5005318.0,69755.0,397820.0,42265.0,343780.0,74519.0,606922.0,33723.0,67846.0,6657291.0,742784.0,4992644.0,72181.0,423855.0,42895.0,382741.0,77889.0,681824.0,34870.0,77378.0,6830193.0,710305.0,4930412.0,81977.0,463796.0,48382.0,440336.0,91713.0,789127.0,41289.0,2426.0,9796.0,630.0,5487.0,3370.0,13824.0,1147.0,6419.0
22,Michigan,48669.0,9920621.0,1518458.0,7609623.0,51807.0,1381897.0,30796.0,243249.0,72610.0,432043.0,38444.0,49087.0,9889024.0,1633316.0,7526388.0,52395.0,1368159.0,29628.0,257464.0,73809.0,457109.0,38757.0,54938.0,9957488.0,1457008.0,7489371.0,59077.0,1360345.0,33649.0,303059.0,82733.0,497897.0,46629.0,588.0,6682.0,-1168.0,4021.0,1199.0,8924.0,313.0,7872.0
23,Minnesota,58476.0,5278190.0,565154.0,4404588.0,60671.0,260576.0,28881.0,207288.0,61931.0,242956.0,40193.0,60828.0,5383661.0,605761.0,4421799.0,63127.0,285362.0,29873.0,229592.0,65575.0,264265.0,41674.0,68411.0,5527358.0,547442.0,4438071.0,71415.0,336505.0,34879.0,260797.0,75437.0,292764.0,48574.0,2456.0,8288.0,992.0,5006.0,3644.0,9862.0,1481.0,6900.0
24,Mississippi,38718.0,2956700.0,617805.0,1722204.0,48227.0,1091093.0,25455.0,25733.0,48674.0,75626.0,40713.0,39464.0,2984345.0,653726.0,1718713.0,48738.0,1109239.0,26384.0,27944.0,51584.0,84073.0,38802.0,43567.0,2988762.0,599795.0,1696952.0,54244.0,1121752.0,29690.0,28170.0,59478.0,90493.0,43128.0,511.0,5506.0,929.0,3306.0,2910.0,7894.0,-1911.0,4326.0
25,Missouri,47202.0,5955802.0,828615.0,4829636.0,49810.0,681405.0,31593.0,92863.0,59040.0,206777.0,38722.0,47764.0,6028076.0,912291.0,4851262.0,50655.0,690115.0,31831.0,100628.0,61162.0,226388.0,38431.0,53560.0,6090062.0,837930.0,4848330.0,56701.0,699730.0,35710.0,115311.0,67526.0,249105.0,45677.0,845.0,6046.0,238.0,3879.0,2122.0,6364.0,-291.0,7246.0
26,Montana,45324.0,982854.0,139904.0,863867.0,46430.0,4117.0,27477.0,5809.0,40000.0,28368.0,33921.0,46766.0,1006370.0,150096.0,877713.0,48107.0,4426.0,36842.0,6484.0,47631.0,31902.0,36434.0,52559.0,1041732.0,139063.0,898953.0,53813.0,4348.0,41484.0,7806.0,58774.0,39019.0,42094.0,1677.0,5706.0,9365.0,4642.0,7631.0,11143.0,2513.0,5660.0
27,Nebraska,50695.0,1813061.0,211752.0,1498016.0,52287.0,78562.0,27449.0,30409.0,52410.0,159550.0,38720.0,52400.0,1855617.0,231762.0,1506879.0,54303.0,83932.0,28376.0,35325.0,51551.0,180448.0,39328.0,59116.0,1904760.0,213790.0,1512314.0,61342.0,88442.0,34122.0,43839.0,56627.0,203281.0,47200.0,2016.0,7039.0,927.0,5746.0,-859.0,5076.0,608.0,7872.0
28,Nevada,55553.0,2673396.0,340903.0,1466177.0,57377.0,206587.0,41249.0,187393.0,62250.0,698713.0,45579.0,52205.0,2761584.0,423578.0,1455192.0,54736.0,220503.0,37269.0,203924.0,60168.0,752049.0,43255.0,57598.0,2922849.0,393431.0,1458093.0,61412.0,249967.0,39726.0,229928.0,65460.0,831597.0,49873.0,-2641.0,6676.0,-3980.0,2457.0,-2082.0,5292.0,-2324.0,6618.0
29,New Hampshire,64664.0,1315911.0,101634.0,1216365.0,64801.0,13668.0,47708.0,27644.0,76141.0,36452.0,50800.0,65986.0,1321069.0,113374.0,1210946.0,66212.0,14488.0,49815.0,30371.0,78339.0,40301.0,48670.0,74057.0,1343622.0,102352.0,1214547.0,74468.0,17622.0,51630.0,35848.0,83301.0,48356.0,55157.0,1411.0,8256.0,2107.0,1815.0,2198.0,4962.0,-2130.0,6487.0
30,New Jersey,71180.0,8753064.0,805170.0,5243145.0,76558.0,1124735.0,47455.0,710796.0,101537.0,1512251.0,49701.0,72062.0,8874374.0,934665.0,5131568.0,77446.0,1133259.0,46640.0,775252.0,103101.0,1649784.0,49097.0,79363.0,8881845.0,904132.0,4960005.0,85423.0,1129257.0,51309.0,826944.0,116131.0,1768020.0,54160.0,888.0,7977.0,-815.0,4669.0,1564.0,13030.0,-604.0,5063.0
31,New Mexico,44631.0,2037136.0,378301.0,832435.0,47091.0,35602.0,39386.0,25595.0,55591.0,934301.0,36942.0,44968.0,2080085.0,426116.0,824291.0,47835.0,37519.0,40960.0,26991.0,58744.0,978189.0,37184.0,48059.0,2092434.0,410389.0,788308.0,50947.0,38016.0,38490.0,29571.0,65019.0,1015751.0,40641.0,744.0,3112.0,1574.0,-2470.0,3153.0,6275.0,242.0,3457.0
32,New York,56951.0,19302448.0,2722107.0,11330687.0,63405.0,2792043.0,41207.0,1404325.0,61379.0,3356747.0,40203.0,58687.0,19594330.0,2978521.0,11220383.0,65667.0,2824566.0,41598.0,1511457.0,62420.0,3559644.0,40814.0,65323.0,19618453.0,2797985.0,10959534.0,73584.0,2808679.0,46178.0,1616028.0,72131.0,3705588.0,46259.0,2262.0,7917.0,391.0,4580.0,1041.0,9711.0,611.0,5445.0
33,North Carolina,46291.0,9418736.0,1473556.0,6183777.0,51792.0,1992921.0,32529.0,200617.0,62245.0,764707.0,34918.0,46693.0,9750405.0,1669147.0,6294528.0,51958.0,2062599.0,32930.0,229891.0,67138.0,848597.0,34938.0,52413.0,10155624.0,1523949.0,6433039.0,58171.0,2146254.0,37242.0,280059.0,80500.0,935950.0,40001.0,166.0,6213.0,401.0,4312.0,4893.0,13362.0,20.0,5063.0
34,North Dakota,49415.0,666783.0,78888.0,594594.0,51137.0,6947.0,26743.0,6597.0,39382.0,13210.0,41058.0,55579.0,704925.0,80865.0,618458.0,57619.0,10396.0,29012.0,8046.0,44537.0,18250.0,42932.0,63473.0,752201.0,79270.0,639477.0,66213.0,20113.0,34565.0,10664.0,62223.0,26529.0,47116.0,6482.0,8594.0,2269.0,5553.0,5155.0,17686.0,1874.0,4184.0
35,Ohio,48071.0,11525536.0,1654193.0,9378209.0,51306.0,1379192.0,28802.0,188995.0,66339.0,345370.0,36752.0,48849.0,11560380.0,1790564.0,9311563.0,52251.0,1388915.0,27909.0,207041.0,69172.0,379542.0,37644.0,54533.0,11641879.0,1645986.0,9220638.0,58885.0,1418048.0,31669.0,247987.0,73058.0,431327.0,42732.0,945.0,6634.0,-893.0,3760.0,2833.0,3886.0,892.0,5088.0
36,Oklahoma,44287.0,3714520.0,586046.0,2567299.0,47210.0,266036.0,29465.0,62164.0,50986.0,318007.0,35271.0,46235.0,3818851.0,625508.0,2587971.0,49409.0,272812.0,30484.0,70171.0,52833.0,357916.0,37552.0,51424.0,3918137.0,607810.0,2586110.0,54612.0,282622.0,34138.0,82318.0,56996.0,407521.0,42770.0,2199.0,5203.0,1019.0,3654.0,1847.0,4163.0,2281.0,5218.0
37,Oregon,49850.0,3801991.0,550372.0,2996677.0,50703.0,64512.0,32735.0,137412.0,58773.0,436806.0,38003.0,50521.0,3900343.0,638816.0,3027597.0,51397.0,67305.0,33505.0,149886.0,62398.0,473729.0,39723.0,59393.0,4081943.0,565247.0,3103557.0,60183.0,74356.0,37078.0,172505.0,75929.0,523956.0,48447.0,694.0,8786.0,770.0,3573.0,3625.0,13531.0,1720.0,8724.0
