STABBR,UGDS_WHITE_2011,UGDS_BLACK_2011,UGDS_HISP_2011,UGDS_ASIAN_2011,UGDS_AIAN_2011,UGDS_WHITE_2014,UGDS_BLACK_2014,UGDS_HISP_2014,UGDS_ASIAN_2014,UGDS_AIAN_2014,UGDS_WHITE_2018,UGDS_BLACK_2018,UGDS_HISP_2018,UGDS_ASIAN_2018,UGDS_AIAN_2018,WHITE_change_14_18,WHITE_change_11_18,WHITE_change_11_14,BLACK_change_14_18,BLACK_change_11_18,BLACK_change_11_14,HISP_change_14_18,HISP_change_11_18,HISP_change_11_14,ASIAN_change_14_18,ASIAN_change_11_18,ASIAN_change_11_14,AIAN_change_14_18,AIAN_change_11_18,AIAN_change_11_14
NE,0.8098,0.0156,0.117,0.0071,0.0044,0.7629,0.0224,0.1831,0.0053,0.0053,0.6978,0.031,0.2494,0.0102,0.0076,-0.06510000000000005,-0.11199999999999999,-0.04689999999999994,0.0086,0.0154,0.0068000000000000005,0.0663,0.13240000000000002,0.0661,0.004900000000000001,0.0031000000000000003,-0.0018000000000000004,0.0023,0.0031999999999999997,0.0008999999999999998
NH,0.8499,0.0216,0.0224,0.018000000000000002,0.0044,0.8574,0.0277,0.0275,0.0233,0.0037,0.8083,0.0425,0.0403,0.0155,0.0029,-0.04910000000000003,-0.04159999999999997,0.007500000000000062,0.014800000000000004,0.020900000000000002,0.006099999999999998,0.012800000000000002,0.017900000000000003,0.0051,-0.007800000000000001,-0.0025000000000000022,0.005299999999999999,-0.0008000000000000004,-0.0015000000000000005,-0.0007000000000000001
NJ,0.4652,0.1433,0.1389,0.0696,0.0048,0.4685,0.1485,0.1691,0.0815,0.0055,0.4507,0.1414,0.2303,0.0755,0.0034,-0.017800000000000038,-0.014500000000000013,0.003300000000000025,-0.007099999999999995,-0.0019000000000000128,0.005199999999999982,0.061200000000000004,0.09140000000000001,0.030200000000000005,-0.006000000000000005,0.0059000000000000025,0.011900000000000008,-0.0021,-0.0013999999999999998,0.0007000000000000001
NM,0.3572,0.0373,0.4277,0.0172,0.07400000000000001,0.3036,0.03,0.4814,0.0211,0.0732,0.2744,0.0295,0.5239,0.0226,0.0639,-0.029200000000000004,-0.08280000000000004,-0.053600000000000037,-0.0005000000000000004,-0.007800000000000001,-0.007300000000000001,0.04250000000000004,0.09620000000000001,0.05369999999999997,0.0014999999999999979,0.0053999999999999986,0.0039000000000000007,-0.009300000000000003,-0.010100000000000012,-0.000800000000000009
NV,0.6351,0.0319,0.2084,0.0509,0.0156,0.5836,0.0227,0.2667,0.0542,0.015,0.5036,0.0273,0.3346,0.0572,0.0137,-0.07999999999999996,-0.13149999999999995,-0.05149999999999999,0.0046,-0.0045999999999999965,-0.009199999999999996,0.06790000000000002,0.1262,0.05829999999999999,0.0030000000000000027,0.0063,0.0032999999999999974,-0.001299999999999999,-0.001899999999999999,-0.0005999999999999998
NY,0.913,0.0177,0.0189,0.0086,0.0021,0.8976,0.0331,0.0337,0.0074,0.0048,0.856,0.046,0.0471,0.0114,0.0042,-0.04159999999999997,-0.05700000000000005,-0.01540000000000008,0.012900000000000002,0.0283,0.015399999999999997,0.013400000000000002,0.028200000000000003,0.0148,0.004,0.0028000000000000004,-0.0011999999999999997,-0.0005999999999999998,0.0021,0.0026999999999999997
OH,0.8969,0.045,0.0131,0.0044,0.0044,0.8856,0.0341,0.0187,0.0073,0.0081,0.8242,0.0644,0.0349,0.0094,0.0027,-0.06140000000000001,-0.07269999999999999,-0.011299999999999977,0.0303,0.0194,-0.0109,0.0162,0.0218,0.005600000000000001,0.0021000000000000003,0.005,0.0029,-0.005399999999999999,-0.0017000000000000001,0.0036999999999999993
OK,0.594,0.0401,0.0368,0.0017,0.2519,0.5922,0.0385,0.053,0.0035,0.2009,0.541,0.0265,0.0769,0.0039,0.17,-0.05119999999999991,-0.052999999999999936,-0.0018000000000000238,-0.012,-0.013599999999999998,-0.0015999999999999973,0.023899999999999998,0.0401,0.0162,0.00039999999999999975,0.0021999999999999997,0.0018000000000000002,-0.030899999999999983,-0.0819,-0.05100000000000002
OR,0.7115,0.0074,0.1307,0.0086,0.0277,0.6844,0.0122,0.2133,0.0072,0.0259,0.5842,0.0135,0.2992,0.0038,0.0271,-0.10019999999999996,-0.12729999999999997,-0.027100000000000013,0.001299999999999999,0.0060999999999999995,0.0048000000000000004,0.08590000000000003,0.1685,0.08259999999999998,-0.0034,-0.0048000000000000004,-0.0014000000000000002,0.0011999999999999997,-0.0005999999999999998,-0.0017999999999999995
PA,0.6445,0.18600000000000005,0.0088,0.0178,0.0047,0.5956,0.1826,0.013,0.0248,0.0037,0.5981,0.1759,0.0353,0.0307,0.0048,0.0024999999999999467,-0.0464,-0.048899999999999944,-0.0067000000000000115,-0.010100000000000053,-0.003400000000000042,0.0223,0.026499999999999996,0.004199999999999999,0.0059000000000000025,0.012900000000000002,0.006999999999999999,0.0010999999999999994,9.99999999999994e-05,-0.001
PR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PW,0.0,0.0014,0.0,0.0027,0.0014,0.0,0.0017,0.0,0.0,0.0,0.0021,0.0,0.0,0.0168,0.0,0.0021,0.0021,0.0,-0.0017,-0.0014,0.0002999999999999999,0.0,0.0,0.0,0.0168,0.014099999999999998,-0.0027,0.0,-0.0014,-0.0014
RI,0.6382,0.0929,0.1574,0.0296,0.0067,0.5903,0.0955,0.1934,0.0305,0.0054,0.555,0.0913,0.2156,0.0306,0.0035,-0.0353,-0.08319999999999994,-0.04789999999999994,-0.004199999999999995,-0.0015999999999999903,0.002600000000000005,0.022200000000000025,0.0582,0.035999999999999976,9.99999999999994e-05,0.0009999999999999974,0.000899999999999998,-0.0019000000000000002,-0.0032,-0.0013
SC,0.6085,0.336,0.0232,0.0067,0.0064,0.6053,0.3101,0.0423,0.0106,0.0097,0.5643,0.3335,0.0607,0.0129,0.0072,-0.040999999999999925,-0.04420000000000002,-0.0032000000000000917,0.023400000000000032,-0.0025000000000000022,-0.025900000000000034,0.0184,0.0375,0.0191,0.0023,0.0062,0.0039,-0.0025000000000000005,0.0007999999999999995,0.0033
